# File: A00.india_state_laborforce.csv
# Title: Estimated labour force projections
# Units: NA
# Description: Estimated to correct the trajectory of GDP growth rates
# Column types: cin
# ----------
region,year,laborforce
LD,2055,0.116
LD,2060,0.101
LD,2065,0.089
LD,2070,0.079
LD,2075,0.073
LD,2080,0.067
LD,2085,0.061
LD,2090,0.055
LD,2095,0.049
LD,2100,0.043
MH,1975,0.500
MH,1990,0.500
MH,2005,0.500
MH,2010,0.380
MH,2015,0.355
MH,2020,0.344
MH,2025,0.346
MH,2030,0.370
MH,2035,0.386
MH,2040,0.399
MH,2045,0.405
MH,2050,0.409
MH,2055,0.398
MH,2060,0.374
MH,2065,0.347
MH,2070,0.324
MH,2075,0.308
MH,2080,0.290
MH,2085,0.270
MH,2090,0.247
MH,2095,0.222
MH,2100,0.199
ML,1975,0.500
ML,1990,0.500
ML,2005,0.500
ML,2010,0.360
ML,2015,0.357
ML,2020,0.370
ML,2025,0.398
ML,2030,0.436
ML,2035,0.470
ML,2040,0.504
ML,2045,0.527
ML,2050,0.519
ML,2055,0.505
ML,2060,0.492
ML,2065,0.470
ML,2070,0.449
ML,2075,0.427
ML,2080,0.409
ML,2085,0.384
ML,2090,0.354
ML,2095,0.321
ML,2100,0.289
MN,1975,0.500
MN,1990,0.500
MN,2005,0.500
MN,2010,0.380
MN,2015,0.377
MN,2020,0.391
MN,2025,0.420
MN,2030,0.460
MN,2035,0.496
MN,2040,0.532
MN,2045,0.556
MN,2050,0.548
MN,2055,0.533
MN,2060,0.519
MN,2065,0.496
MN,2070,0.474
MN,2075,0.451
MN,2080,0.431
MN,2085,0.405
MN,2090,0.373
MN,2095,0.339
MN,2100,0.305
MP,1975,0.500
MP,1990,0.500
MP,2005,0.500
MP,2010,0.340
MP,2015,0.345
MP,2020,0.348
MP,2025,0.363
MP,2030,0.407
MP,2035,0.462
MP,2040,0.520
MP,2045,0.572
MP,2050,0.620
MP,2055,0.657
MP,2060,0.681
MP,2065,0.668
MP,2070,0.637
MP,2075,0.606
MP,2080,0.571
MP,2085,0.531
MP,2090,0.485
MP,2095,0.437
MP,2100,0.392
MZ,1975,0.500
MZ,1990,0.500
MZ,2005,0.500
MZ,2010,0.220
MZ,2015,0.218
MZ,2020,0.226
MZ,2025,0.243
MZ,2030,0.266
MZ,2035,0.287
MZ,2040,0.308
MZ,2045,0.322
MZ,2050,0.317
MZ,2055,0.308
MZ,2060,0.301
MZ,2065,0.287
MZ,2070,0.274
MZ,2075,0.261
MZ,2080,0.250
MZ,2085,0.234
MZ,2090,0.216
MZ,2095,0.196
MZ,2100,0.176
NL,1975,0.500
NL,1990,0.500
NL,2005,0.500
NL,2010,0.260
NL,2015,0.258
NL,2020,0.267
NL,2025,0.287
NL,2030,0.315
NL,2035,0.339
NL,2040,0.364
NL,2045,0.380
NL,2050,0.375
NL,2055,0.364
NL,2060,0.355
NL,2065,0.339
NL,2070,0.324
NL,2075,0.308
NL,2080,0.295
NL,2085,0.277
NL,2090,0.256
NL,2095,0.232
NL,2100,0.208
OD,1975,0.500
OD,1990,0.500
OD,2005,0.500
OD,2010,0.440
OD,2015,0.404
OD,2020,0.381
OD,2025,0.372
OD,2030,0.394
OD,2035,0.445
OD,2040,0.501
OD,2045,0.556
OD,2050,0.609
OD,2055,0.643
OD,2060,0.666
OD,2065,0.657
OD,2070,0.630
OD,2075,0.599
OD,2080,0.573
OD,2085,0.538
OD,2090,0.496
OD,2095,0.450
OD,2100,0.405
PB,1975,0.500
PB,1990,0.500
PB,2005,0.500
PB,2010,0.450
PB,2015,0.410
PB,2020,0.395
PB,2025,0.395
PB,2030,0.415
PB,2035,0.433
PB,2040,0.454
PB,2045,0.477
PB,2050,0.500
PB,2055,0.511
PB,2060,0.487
PB,2065,0.457
PB,2070,0.431
PB,2075,0.410
PB,2080,0.386
PB,2085,0.359
PB,2090,0.328
PB,2095,0.296
PB,2100,0.265
PC,1975,0.500
PC,1990,0.500
PC,2005,0.500
PC,2010,0.380
PC,2015,0.374
PC,2020,0.360
PC,2025,0.359
PC,2030,0.379
PC,2035,0.388
PC,2040,0.392
PC,2045,0.370
PC,2050,0.339
PC,2055,0.293
PC,2060,0.256
PC,2065,0.225
PC,2070,0.201
PC,2075,0.184
PC,2080,0.170
PC,2085,0.155
PC,2090,0.140
PC,2095,0.124
PC,2100,0.110
RJ,1975,0.500
RJ,1990,0.500
RJ,2005,0.500
RJ,2010,0.320
RJ,2015,0.346
RJ,2020,0.345
RJ,2025,0.358
RJ,2030,0.392
RJ,2035,0.425
RJ,2040,0.458
RJ,2045,0.490
RJ,2050,0.529
RJ,2055,0.552
RJ,2060,0.567
RJ,2065,0.557
RJ,2070,0.533
RJ,2075,0.507
RJ,2080,0.477
RJ,2085,0.444
RJ,2090,0.406
RJ,2095,0.365
RJ,2100,0.327
SK,1975,0.500
SK,1990,0.500
SK,2005,0.500
SK,2010,0.310
SK,2015,0.308
SK,2020,0.295
SK,2025,0.295
SK,2030,0.312
SK,2035,0.319
SK,2040,0.322
SK,2045,0.303
SK,2050,0.278
SK,2055,0.241
SK,2060,0.210
SK,2065,0.186
SK,2070,0.166
SK,2075,0.152
SK,2080,0.139
SK,2085,0.128
SK,2090,0.115
SK,2095,0.102
SK,2100,0.089
TN,1975,0.500
TN,1990,0.500
TN,2005,0.500
TN,2010,0.460
TN,2015,0.475
TN,2020,0.469
TN,2025,0.481
TN,2030,0.502
TN,2035,0.519
TN,2040,0.534
TN,2045,0.545
TN,2050,0.550
TN,2055,0.533
TN,2060,0.500
TN,2065,0.464
TN,2070,0.434
TN,2075,0.412
TN,2080,0.388
TN,2085,0.361
TN,2090,0.330
TN,2095,0.298
TN,2100,0.267
TR,1975,0.500
TR,1990,0.500
TR,2005,0.500
TR,2010,0.320
TR,2015,0.317
TR,2020,0.329
TR,2025,0.353
TR,2030,0.387
TR,2035,0.417
TR,2040,0.448
TR,2045,0.468
TR,2050,0.462
TR,2055,0.449
TR,2060,0.437
TR,2065,0.418
TR,2070,0.399
TR,2075,0.380
TR,2080,0.363
TR,2085,0.341
TR,2090,0.315
TR,2095,0.285
TR,2100,0.256
TS,1975,0.500
TS,1990,0.500
TS,2005,0.500
TS,2010,0.390
TS,2015,0.405
TS,2020,0.391
TS,2025,0.391
TS,2030,0.410
TS,2035,0.427
TS,2040,0.448
TS,2045,0.470
TS,2050,0.494
TS,2055,0.504
TS,2060,0.481
TS,2065,0.451
TS,2070,0.425
TS,2075,0.404
TS,2080,0.381
TS,2085,0.354
TS,2090,0.324
TS,2095,0.292
TS,2100,0.261
UK,1975,0.500
UK,1990,0.500
UK,2005,0.500
UK,2010,0.360
UK,2015,0.349
UK,2020,0.348
UK,2025,0.360
UK,2030,0.385
UK,2035,0.409
UK,2040,0.427
UK,2045,0.431
UK,2050,0.421
UK,2055,0.396
UK,2060,0.371
UK,2065,0.343
UK,2070,0.321
UK,2075,0.305
UK,2080,0.287
UK,2085,0.267
UK,2090,0.244
UK,2095,0.220
UK,2100,0.197
UP,1975,0.500
UP,1990,0.500
UP,2005,0.500
UP,2010,0.370
UP,2015,0.365
UP,2020,0.354
UP,2025,0.356
UP,2030,0.397
UP,2035,0.459
UP,2040,0.549
UP,2045,0.648
UP,2050,0.747
UP,2055,0.821
UP,2060,0.880
UP,2065,0.911
UP,2070,0.912
UP,2075,0.867
UP,2080,0.816
UP,2085,0.759
UP,2090,0.694
UP,2095,0.625
UP,2100,0.560
WB,1975,0.500
WB,1990,0.500
WB,2005,0.500
WB,2010,0.470
WB,2015,0.449
WB,2020,0.448
WB,2025,0.464
WB,2030,0.508
WB,2035,0.548
WB,2040,0.586
WB,2045,0.614
WB,2050,0.645
WB,2055,0.664
WB,2060,0.684
WB,2065,0.678
WB,2070,0.656
WB,2075,0.624
WB,2080,0.588
WB,2085,0.547
WB,2090,0.500
WB,2095,0.450
WB,2100,0.403
