# File: A10.SE_SGDP_MOSPI_11INR.csv
# Title: State-wise Gross State Domestic Product (GSDP) for the base year 2011-12
# Units: INR Crores
#The raw data is available in different price series but for uniformity all the GDP values are converted into 2011-12 base price year
# Source: Ministry of Statistics and Programme Implementation (MoSPI), GoI. Link: http://mospi.nic.in/data
# Column types: ccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
#------------
state,state_name,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
ML,Meghalaya,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761
MN,Manipur,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47
MP,Madhya Pradesh,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45
MZ,Mizoram,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964
NL,Nagaland,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351
OD,Odisha,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148
PB,Punjab,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525
PC,Puducherry,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982
RJ,Rajasthan,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348
SK,Sikkim,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616
TN,Tamil Nadu,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855
TR,Tripura,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76
TS,Telangana,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54
UK,Uttarakhand,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609
UP,Uttar Pradesh,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35
WB,West Bengal,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575
